apt-alarm  | [2024-01-18 09:47:30] [INFO] 서울특별시 동대문구 장안동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:30] [INFO] 서울특별시 강남구 역삼동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:30] [INFO] 서울특별시 영등포구 여의도동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:30] [INFO] 서울특별시 동작구 대방동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:30] [INFO] 서울특별시 영등포구 여의도동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 마포구 망원동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 종로구 종로3가, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 동대문구 청량리동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 금천구 시흥동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 강동구 암사동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 구로구 온수동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 강서구 마곡동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 강동구 길동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 송파구 가락동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 강서구 방화동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 광진구 화양동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 영등포구 여의도동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 도봉구 도봉동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 용산구 후암동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 종로구 종로2가, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 용산구 후암동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 동대문구 청량리동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 노원구 하계동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 동대문구 전농동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 성북구 돈암동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 동작구 대방동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 서초구 양재동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 강북구 미아동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 종로구 종로4가, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 동대문구 청량리동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 강서구 마곡동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 용산구 서계동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 강동구 성내동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 종로구 종로1가, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 금천구 가산동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 관악구 낙성대동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 구로구 구로동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 영등포구 대림동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 강남구 삼성동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 서초구 서초동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 금천구 독산동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 은평구 신사동, processId: 1, threadID: 139832177813312
apt-alarm  | [2024-01-18 09:47:31] [INFO] 서울특별시 동대문구 답십리동, processId: 1, threadID: 139832177813312
